StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
1970/01/01 01:00:00.000000,0.0,llc,00:00:00:00:00:00,0,   ->,00:00:00:00:00:00,0,INT,,,1,60,60,0
1970/01/01 01:00:46.032948,0.499685,ipv6-icmp,fe80::69dd:e614:2b2:dfd0,143,   ->,ff02::16,0,MHR,0.0,,2,180,180,0
1970/01/01 01:00:46.530495,0.0,ipv6-icmp,::,135,   ->,ff02::1:ffb2:dfd0,0,NNS,0.0,,1,78,78,0
1970/01/01 01:00:46.532106,7.984285,ipv6-icmp,fe80::69dd:e614:2b2:dfd0,133,   ->,ff02::2,0,NRS,0.0,,3,210,210,0
1970/01/01 01:00:53.016637,2.00016,arp,0.0.0.0,,  who,169.254.223.208,,INT,,,3,126,126,0
1970/01/01 01:00:54.597726,3.998217,udp,0.0.0.0,68,   ->,255.255.255.255,67,INT,0.0,,2,688,688,0
1970/01/01 01:00:54.597910,7.50798,udp,10.0.2.2,67,   ->,10.0.2.15,68,INT,16.0,,3,1770,1770,0
1970/01/01 01:00:58.549259,3219.232422,udp,fe80::69dd:e614:2b2:dfd0,546,   ->,ff02::1:2,547,INT,0.0,,56,8288,8288,0
1970/01/01 01:00:58.630555,3265.765625,arp,10.0.2.15,,  who,10.0.2.2,,CON,,,34,1428,714,0
1970/01/01 01:00:59.017285,1.999371,arp,0.0.0.0,,  who,10.0.2.15,,INT,,,3,126,126,0
1970/01/01 01:01:02.105450,0.0,udp,10.0.2.15,68,   ->,255.255.255.255,67,INT,0.0,,1,342,342,0
1970/01/01 01:01:02.129915,0.093934,udp,10.0.2.15,51896,  <->,192.168.33.254,53,CON,0.0,0.0,2,211,68,0
1970/01/01 01:01:02.228448,0.102746,udp,fe80::69dd:e614:2b2:dfd0,51453,   ->,ff02::1:3,5355,INT,0.0,,2,168,168,0
1970/01/01 01:01:02.228912,0.103106,udp,10.0.2.15,64922,   ->,224.0.0.252,5355,INT,0.0,,2,128,128,0
1970/01/01 01:01:02.534601,2249.090576,udp,10.0.2.15,137,   ->,10.0.2.255,137,INT,0.0,,15,1380,1380,0
1970/01/01 01:01:04.795249,0.079787,udp,10.0.2.15,58640,  <->,192.168.33.254,53,CON,0.0,0.0,2,258,76,0
1970/01/01 01:01:04.888805,0.647103,udp,10.0.2.15,61815,  <->,192.168.33.254,53,CON,0.0,0.0,2,258,76,0
1970/01/01 01:01:05.542900,0.077994,tcp,10.0.2.15,49157,   ->,95.101.72.202,80,FSPA_FSPA,0.0,0.0,11,956,379,0
1970/01/01 01:04:34.416792,0.07098,udp,10.0.2.15,62169,  <->,192.168.33.254,53,CON,0.0,0.0,2,473,84,0
1970/01/01 01:04:34.516217,719.80426,tcp,10.0.2.15,49162,   ->,52.222.174.104,80,FSPA_FSPA,0.0,0.0,175,19020,7906,0
1970/01/01 01:04:34.526767,0.072843,udp,10.0.2.15,62183,  <->,192.168.33.254,53,CON,0.0,0.0,2,473,84,0
1970/01/01 01:04:34.606860,0.053187,udp,10.0.2.15,57988,  <->,192.168.33.254,53,CON,0.0,0.0,2,443,89,0
1970/01/01 01:04:34.667270,0.076056,udp,10.0.2.15,57427,  <->,192.168.33.254,53,CON,0.0,0.0,2,259,89,0
1970/01/01 01:04:36.227995,0.039125,udp,10.0.2.15,59123,  <->,192.168.33.254,53,CON,0.0,0.0,2,230,75,0
1970/01/01 01:04:36.302202,0.051077,udp,10.0.2.15,58295,  <->,192.168.33.254,53,CON,0.0,0.0,2,220,94,0
1970/01/01 01:04:36.364010,0.041255,udp,10.0.2.15,53825,  <->,192.168.33.254,53,CON,0.0,0.0,2,244,94,0
1970/01/01 01:04:40.367622,0.051168,udp,10.0.2.15,53659,  <->,192.168.33.254,53,CON,0.0,0.0,2,554,83,0
1970/01/01 01:04:40.421639,64.220825,tcp,10.0.2.15,49163,   ->,52.39.237.157,443,FSPA_FSPA,0.0,0.0,49,17435,4383,0
1970/01/01 01:04:40.428542,0.055606,udp,10.0.2.15,52583,  <->,192.168.33.254,53,CON,0.0,0.0,2,554,83,0
1970/01/01 01:04:40.490188,0.038024,udp,10.0.2.15,55873,  <->,192.168.33.254,53,CON,0.0,0.0,2,511,123,0
1970/01/01 01:04:40.529149,0.044838,udp,10.0.2.15,60301,  <->,192.168.33.254,53,CON,0.0,0.0,2,494,95,0
1970/01/01 01:04:40.533608,0.045281,udp,10.0.2.15,52409,  <->,192.168.33.254,53,CON,0.0,0.0,2,324,123,0
1970/01/01 01:04:40.581827,0.049094,udp,10.0.2.15,54894,  <->,192.168.33.254,53,CON,0.0,0.0,2,441,88,0
1970/01/01 01:04:40.637141,0.042976,udp,10.0.2.15,59944,  <->,192.168.33.254,53,CON,0.0,0.0,2,257,88,0
1970/01/01 01:04:40.963643,0.041395,udp,10.0.2.15,58452,  <->,192.168.33.254,53,CON,0.0,0.0,2,202,77,0
1970/01/01 01:04:41.008169,171.115372,tcp,10.0.2.15,49164,   ->,93.184.220.29,80,FSPA_FSPA,0.0,0.0,48,5260,2180,0
